0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:17:14 +0100] "GET /web-SQL/webpages/index.jsp HTTP/1.1" 200 4185
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:17:14 +0100] "GET /web-SQL/webpages/Sample_photos/logo/main_logo.jpg HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:17:14 +0100] "GET /web-SQL/webpages/Sample_photos/twitter.jpg HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:17:14 +0100] "GET /web-SQL/webpages/Sample_photos/facebook.jpg HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:17:47 +0100] "GET /web-SQL/webpages/index.jsp HTTP/1.1" 200 4185
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:17:47 +0100] "GET /web-SQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:17:47 +0100] "GET /web-SQL/webpages/Sample_photos/logo/main_logo.jpg HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:17:47 +0100] "GET /web-SQL/webpages/Sample_photos/House_Category/henery.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:17:47 +0100] "GET /web-SQL/webpages/Sample_photos/tech_category/ps4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:17:47 +0100] "GET /web-SQL/webpages/Sample_photos/animal_category/Puppy_2_kbhb4a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:17:47 +0100] "GET /web-SQL/webpages/Sample_photos/facebook.jpg HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:17:47 +0100] "GET /web-SQL/webpages/Sample_photos/twitter.jpg HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:17:47 +0100] "GET /web-SQL/webpages/Sample_photos/Motor_category/a6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:17:55 +0100] "GET /web-SQL/webpages/advertPage.jsp HTTP/1.1" 200 3572
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:17:55 +0100] "GET /web-SQL/webpages/Sample_photos/facebook.jpg HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:17:55 +0100] "GET /web-SQL/webpages/Sample_photos/logo/main_logo.jpg HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:17:55 +0100] "GET /web-SQL/webpages/Sample_photos/twitter.jpg HTTP/1.1" 404 1035
