0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:54:39 +0100] "GET /web-noSQL/webpages/Logo.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:54:39 +0100] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:55:31 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:55:31 +0100] "GET /web-noSQL/webpages/Logo.png HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:55:31 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:56:48 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:56:48 +0100] "GET /web-noSQL/webpages/Logo.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:56:48 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:57:01 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:57:01 +0100] "GET /web-noSQL/webpages/logo.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:57:06 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:57:06 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:57:06 +0100] "GET /web-noSQL/webpages/logo.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:57:08 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:57:08 +0100] "GET /web-noSQL/webpages/logo.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:57:08 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:57:08 +0100] "GET /web-noSQL/webpages/logo.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:57:08 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:57:08 +0100] "GET /web-noSQL/webpages/logo.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:57:09 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:57:09 +0100] "GET /web-noSQL/webpages/logo.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:57:09 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:57:09 +0100] "GET /web-noSQL/webpages/logo.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:58:05 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:58:05 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:58:05 +0100] "GET /web-noSQL/webpages/logo.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:58:56 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:58:56 +0100] "GET /web-noSQL/webpages/Sample_photos/logo.jpg HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:58:56 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:59:48 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:59:48 +0100] "GET /Sample_photos/logo.jpg HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:00:28 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:00:28 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:00:28 +0100] "GET /logo.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:00:41 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:00:41 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:00:41 +0100] "GET /logo.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:01:22 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:01:22 +0100] "GET /logo.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:01:23 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:01:23 +0100] "GET /logo.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:01:24 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:01:24 +0100] "GET /logo.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:01:24 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:01:24 +0100] "GET /logo.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:01:24 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:01:24 +0100] "GET /logo.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:01:24 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:01:24 +0100] "GET /logo.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:01:35 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:01:35 +0100] "GET /logo.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:01:35 +0100] "GET /logo.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:02:39 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:02:39 +0100] "GET /web-noSQL/webpages/logo.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:02:39 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:04:02 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:04:02 +0100] "GET /web-noSQL/webpages/logo.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:04:02 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:04:45 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:04:45 +0100] "GET /web-noSQL/webpages/logo.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:04:45 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:05:42 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:05:42 +0100] "GET /web-noSQL/webpages/html5.gif HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:05:42 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:06:00 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:06:00 +0100] "GET /web-noSQL/webpages/logo.JPG HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:06:03 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:06:03 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:06:03 +0100] "GET /web-noSQL/webpages/logo.JPG HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:06:04 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:06:04 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:06:04 +0100] "GET /web-noSQL/webpages/logo.JPG HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:06:04 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:06:04 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:06:04 +0100] "GET /web-noSQL/webpages/logo.JPG HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:06:09 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:06:09 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:06:09 +0100] "GET /web-noSQL/webpages/logo.JPG HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:06:28 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:06:28 +0100] "GET /web-noSQL/webpages/logo.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:07:17 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:07:17 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:07:17 +0100] "GET /web-noSQL/webpages/logo.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:07:39 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:07:39 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:07:39 +0100] "GET /web-noSQL/webpages/logo.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:07:41 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:07:41 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:07:41 +0100] "GET /web-noSQL/webpages/logo.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:08:15 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:08:15 +0100] "GET /web-noSQL/webpages/logo.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:10:15 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:10:15 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:10:39 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:10:39 +0100] "GET /web-site-mongo/web-noSQL/WebContent/webpages/Sample_photos/logo.jpg HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:10:52 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:10:52 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:10:53 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:10:53 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:10:53 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:10:53 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:10:56 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:10:56 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:11:04 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:11:04 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:11:45 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:11:45 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:12:47 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:12:47 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:13:02 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:13:02 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:13:08 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:13:08 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:13:41 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:13:41 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:15:06 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:15:06 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:15:37 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:15:37 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:17:13 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:17:13 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:22:06 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:22:06 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:22:40 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:22:40 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:24:51 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:24:51 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:25:07 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:25:07 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 200 220
