127.0.0.1 - - [06/Jul/2017:22:09:25 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:09:30 +0100] "GET /web-SQL/webpages/userpage.jsp HTTP/1.1" 200 2702
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:09:30 +0100] "GET /web-SQL/webpages/Sample_photos/logo/main_logo.jpg HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:09:30 +0100] "GET /web-SQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:09:30 +0100] "GET /web-SQL/webpages/WebContent/webpages/Sample_photos/menu_options/1234.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:09:30 +0100] "GET /web-SQL/webpages/WebContent/webpages/Sample_photos/menu_options/1236.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:09:30 +0100] "GET /web-SQL/webpages/WebContent/webpages/Sample_photos/menu_options/1233.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:09:30 +0100] "GET /web-SQL/webpages/Sample_photos/facebook.jpg HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:09:30 +0100] "GET /web-SQL/webpages/WebContent/webpages/Sample_photos/menu_options/1235.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:09:30 +0100] "GET /web-SQL/webpages/Sample_photos/twitter.jpg HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:10:23 +0100] "GET /web-SQL/webpages/userpage.jsp HTTP/1.1" 200 2680
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:10:23 +0100] "GET /web-SQL/webpages/Sample_photos/logo/main_logo.jpg HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:10:23 +0100] "GET /web-SQL/webpages/WebContent/webpages/Sample_photos/menu_options/1234.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:10:23 +0100] "GET /web-SQL/webpages/WebContent/webpages/Sample_photos/menu_options/1236.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:10:23 +0100] "GET /web-SQL/webpages/WebContent/webpages/Sample_photos/menu_options/1233.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:10:23 +0100] "GET /web-SQL/webpages/Sample_photos/menu_options/1235.jpg HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:10:23 +0100] "GET /web-SQL/webpages/Sample_photos/facebook.jpg HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:10:23 +0100] "GET /web-SQL/webpages/Sample_photos/twitter.jpg HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:11:33 +0100] "GET /web-SQL/webpages/userpage.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:11:33 +0100] "GET /web-SQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:11:33 +0100] "GET /web-SQL/webpages/Sample_photos/logo/main_logo.jpg HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:11:33 +0100] "GET /web-SQL/webpages/Sample_photos/menu_options/1234.jpg HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:11:33 +0100] "GET /web-SQL/webpages/Sample_photos/menu_options/1236.jpg HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:11:33 +0100] "GET /web-SQL/webpages/Sample_photos/menu_options/1233.jpg HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:11:33 +0100] "GET /web-SQL/webpages/Sample_photos/menu_options/1235.jpg HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:11:33 +0100] "GET /web-SQL/webpages/Sample_photos/facebook.jpg HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:11:33 +0100] "GET /web-SQL/webpages/Sample_photos/twitter.jpg HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:11:52 +0100] "GET /web-SQL/webpages/userpage.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:11:52 +0100] "GET /web-SQL/webpages/bbr.css HTTP/1.1" 200 2922
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:11:52 +0100] "GET /web-SQL/webpages/Sample_photos/logo/main_logo.jpg HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:11:52 +0100] "GET /web-SQL/webpages/Sample_photos/menu_options/1234.jpg HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [06/Jul/2017:22:11:52 +0100] "GET /web-SQL/webpages/Sample_photos/menu_options/1236.jpg HTTP/1.1" 404 1055
